9wg	01-2015	33.17452048681109	0.0
9wg	02-2015	32.950368973622176	0.0
9wg	03-2015	68.71692062170465	0.0
9wg	04-2015	70.72801720523533	0.0
9wg	05-2015	77.80618441047062	0.0
9wg	06-2015	88.90193236877019	0.0
9wg	07-2015	91.45185673754038	0.0
9wg	08-2015	92.95170547508076	0.0
9wg	09-2015	92.12640295016153	0.0
9wg	10-2015	91.37579790032306	0.0
9wg	11-2015	90.54958780064612	0.0
9wg	12-2015	88.89716760129224	0.0
d79	01-2015	73.65471233324767	0.0
d79	02-2015	90.7784345283753	0.0
d79	03-2015	88.43594750574013	7.48993905916089E-65
d79	04-2015	96.92354901148028	1.4114790156988697E-60
d79	05-2015	96.12375202296055	2.65979105718295E-56
d79	06-2015	102.5119420289187	2.09E-321
d79	07-2015	102.92187605783738	3.955105E-317
d79	08-2015	101.71674411567477	7.47673113684E-313
d79	09-2015	99.08148023134956	1.4133264867955653E-308
d79	10-2015	92.6859524626991	2.6714697253409778E-304
d79	11-2015	99.69489692539821	5.049344927866982E-300
d79	12-2015	98.63778585079642	9.543261913668595E-296
f25	01-2015	7.793849080150305	0.0
f25	02-2015	5.902352160300561	0.0
f25	03-2015	35.61080190850665	0.0
f25	04-2015	72.81926256223353	0.0
f25	05-2015	72.08867512446702	0.0
f25	06-2015	86.3305838904021	0.0
f25	07-2015	85.85915978080419	0.0
f25	08-2015	85.36631156160837	0.0
f25	09-2015	85.73061512321672	0.0
f25	10-2015	86.90922224643344	0.0
f25	11-2015	85.89143649286689	0.0
f25	12-2015	89.2558649857338	0.0
c3j	01-2015	21.751701469693103	0.0
c3j	02-2015	19.46629693938622	0.0
c3j	03-2015	33.72448046886943	0.0
c3j	04-2015	46.62329529246236	0.0
c3j	05-2015	44.221740584924675	0.0
c3j	06-2015	78.46520235279623	6.178560395427866E-5
c3j	07-2015	76.87839670559245	2.1284552931447814E-34
c3j	08-2015	78.20478541118491	3.444692046425514E-30
c3j	09-2015	78.15756282236983	5.574545138730409E-26
c3j	10-2015	74.23811764473965	9.020728943493548E-22
c3j	11-2015	75.62422728947928	1.459644150346691E-17
c3j	12-2015	73.89644657895853	2.361704235260946E-13
dr5	01-2015	27.98815642453413	0.0
dr5	02-2015	39.501858248067265	0.0
dr5	03-2015	41.82667206562131	6.168537740553917E-102
dr5	04-2015	59.572359174696984	0.0
dr5	05-2015	70.56986834939393	0.0
dr5	06-2015	77.16295966413264	8.700596224797866E-77
dr5	07-2015	85.07391132826527	1.463353279048753E-72
dr5	08-2015	77.49581465653054	2.461067544704193E-68
dr5	09-2015	83.9396213130611	4.1387772899290414E-64
dr5	10-2015	72.9772346261222	6.959767890744676E-60
dr5	11-2015	76.92746125224438	1.1702849708287173E-55
dr5	12-2015	69.97791450448877	1.9677171499514053E-51
